metric,metric_value,metric_type
axiom_types_incl,TransitiveObjectProperty,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,1334,single_value
class_count_incl,1334,single_value
class_expression_count,Class 12079,map_value
class_expression_count,ObjectAllValuesFrom 654,map_value
class_expression_count,ObjectIntersectionOf 603,map_value
class_expression_count,ObjectSomeValuesFrom 129,map_value
class_expression_count,ObjectUnionOf 107,map_value
class_expression_count_incl,Class 12079,map_value
class_expression_count_incl,ObjectAllValuesFrom 654,map_value
class_expression_count_incl,ObjectIntersectionOf 603,map_value
class_expression_count_incl,ObjectSomeValuesFrom 129,map_value
class_expression_count_incl,ObjectUnionOf 107,map_value
class_sgl_subcl_count,64,single_value
class_sgl_subcl_count_incl,64,single_value
constructs,D,list_value
constructs,H,list_value
constructs,S,list_value
constructs_incl,D,list_value
constructs_incl,H,list_value
constructs_incl,S,list_value
curie_map,owl http://www.w3.org/2002/07/owl#,map_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,1,single_value
dataproperty_count_incl,1,single_value
datatypes_axiom_count,XSD_BOOLEAN 35,map_value
datatypes_axiom_count_incl,XSD_BOOLEAN 35,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_BOOLEAN,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_BOOLEAN,list_value
datatypes_count,2,single_value
datatypes_count_incl,2,single_value
dt_builtin_count,2,single_value
dt_builtin_count_incl,2,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,SH(D),single_value
expressivity_incl,SH(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,35,single_value
individual_count_incl,35,single_value
instance_per_class_avg,0.02623688155922039,single_value
instance_per_class_avg_incl,0.02623688155922039,single_value
logical_axiom_count,4291,single_value
logical_axiom_count_incl,4291,single_value
most_freq_concept,http://www.google.com/digitalbuildings/0.0.1/fields#Supply_fan_speed_percentage_sensor_2,single_value
most_freq_concept_incl,http://www.google.com/digitalbuildings/0.0.1/fields#Supply_fan_speed_percentage_sensor_2,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,0,single_value
named_supercl_count_max_incl,0,single_value
namespace_axiom_count,owl 5,map_value
namespace_axiom_count,prefix_unknown 13009,map_value
namespace_axiom_count,rdfs 1862,map_value
namespace_axiom_count,xsd 35,map_value
namespace_axiom_count_incl,owl 5,map_value
namespace_axiom_count_incl,prefix_unknown 13009,map_value
namespace_axiom_count_incl,rdfs 1862,map_value
namespace_axiom_count_incl,xsd 35,map_value
namespace_entity_count,owl 3,map_value
namespace_entity_count,prefix_unknown 1381,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 2,map_value
namespace_entity_count,xsd 1,map_value
namespace_entity_count_incl,owl 3,map_value
namespace_entity_count_incl,prefix_unknown 1381,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 2,map_value
namespace_entity_count_incl,xsd 1,map_value
obj_property_count,6,single_value
obj_property_count_incl,6,single_value
ontology_anno_count,9,single_value
ontology_iri,http://www.google.com/digitalbuildings/,single_value
ontology_version_iri,no.iri,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,UseOfReservedVocabularyForAnnotationPropertyIRI 1,map_value
owl2dl_profile_violation,UseOfUndeclaredAnnotationProperty 7,map_value
owl2dl_profile_violation,UseOfUndeclaredClass 40,map_value
rbox_axiom_count,3,single_value
rbox_axiom_count_incl,3,single_value
rdfs,false,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,1388,single_value
signature_entity_count_incl,1388,single_value
syntax,RDF/XML Syntax,single_value
tautology_count,5,single_value
tautology_count_incl,5,single_value
tbox_axiom_count,4218,single_value
tbox_axiom_count_incl,4218,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,4221,single_value
tboxrbox_axiom_count_incl,4221,single_value
undecl_entity_count,17,single_value
undecl_entity_count_incl,17,single_value
