metric,metric_value,metric_type
namespace_axiom_count_incl,rdf 157,map_value
namespace_axiom_count_incl,rdfs 1887,map_value
namespace_axiom_count_incl,xsd 207,map_value
namespace_entity_count,prefix_unknown 1290,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 3,map_value
namespace_entity_count,xsd 9,map_value
namespace_entity_count_incl,prefix_unknown 1290,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 3,map_value
namespace_entity_count_incl,xsd 9,map_value
obj_property_count,87,single_value
obj_property_count_incl,87,single_value
ontology_anno_count,0,single_value
ontology_iri,anonymousId,single_value
ontology_version_iri,anonymousId,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,DatatypeIRIAlsoUsedAsClassIRI 192,map_value
owl2dl_profile_violation,IllegalPunning 2046,map_value
owl2dl_profile_violation,UseOfReservedVocabularyForClassIRI 15,map_value
owl2dl_profile_violation,UseOfUndeclaredAnnotationProperty 666,map_value
owl2dl_profile_violation,UseOfUndeclaredClass 107,map_value
owl2dl_profile_violation,UseOfUndeclaredObjectProperty 1695,map_value
rbox_axiom_count,0,single_value
rbox_axiom_count_incl,0,single_value
rdfs,true,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,1303,single_value
signature_entity_count_incl,1303,single_value
syntax,Turtle,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,699,single_value
tbox_axiom_count_incl,699,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,699,single_value
tboxrbox_axiom_count_incl,699,single_value
undecl_entity_count,721,single_value
undecl_entity_count_incl,721,single_value
